ID_SPPG,Status_Pengajuan,Status_Operasional,Kota_Kabupaten,Provinsi,Alamat
DP3HPNJN,Penentuan KA SPPG,Belum Beroperasi,KAB. OGAN KOMERING ULU,SUMATERA SELATAN,"Dusun Trimulyo Blok K , BATTU WINANGUN, LUBUK RAJA, KAB. OGAN KOMERING ULU, SUMATERA SELATAN"
C4XYZCMT,Penentuan KA SPPG,Belum Beroperasi,KOTA BEKASI,JAWA BARAT,"Jl OKTA, GG AWIS, PANGKALAN 6 RT 03 RW 03, KELURAHAN CIKETING UDIK, KECAMATAN BANTAR GEBANG, KOTA BEKASI, CIKETINGUDIK, BANTARGEBANG, KOTA BEKASI, JAWA BARAT"
CB9GCJAT,Penentuan KA SPPG,Belum Beroperasi,KAB. ROKAN HILIR,RIAU,"Jl. Al Kausar RT 011, RW 005 Kelurahan Ujung Tanjung, Kecamatan Tanah Putih,
Kabupaten Rokan Hilir, Provinsi Riau, UJUNG TANJUNG, TANAH PUTIH, KAB. ROKAN HILIR, RIAU"
IYAPGCAQ,Penentuan KA SPPG,Belum Beroperasi,KAB. ROKAN HILIR,RIAU,"Jl. Putri Hijau KM 3, Kec.Tanah Putih,Kabupaten Rokan Hilir Riau 28983
, SINTONG, TANAH PUTIH, KAB. ROKAN HILIR, RIAU"
EO18MSCK,Penentuan KA SPPG,Belum Beroperasi,KAB. MEMPAWAH,KALIMANTAN BARAT,"Jl. Sungai Bundung Laut
RT. 3 RW 1, Dusun Mayasari
Desa Sungai Bundung Laut Kec. Sungai kunyit
Mempawah, SUNGAI BUNDUNG LAUT, SUNGAI KUNYIT, KAB. MEMPAWAH, KALIMANTAN BARAT"
QYUV0XFH,Penentuan KA SPPG,Belum Beroperasi,KAB. OGAN ILIR,SUMATERA SELATAN,"Jl. Lintas Sumatera, Lingkungan 1 RT. 01, Kelurahan Tanjung Raja Kecamatan Tanjung Raja, Kabupaten Ogan Ilir, Sumatera Selatan (Depan SMAN 1 Tanjung Raja), TANJUNG RAJA, TANJUNG RAJA, KAB. OGAN ILIR, SUMATERA SELATAN"
CB0FNIIN,Penentuan KA SPPG,Belum Beroperasi,KAB. CIAMIS,JAWA BARAT,"Jalan Raya Banjarsari No. , BANJARSARI, BANJARSARI, KAB. CIAMIS, JAWA BARAT"
KVAQIRBF,Penentuan KA SPPG,Belum Beroperasi,KAB. PEKALONGAN,JAWA TENGAH,"Jl. Yos Sudarso no 278 Kepatihan RT/RW 09/04, Kec. Wiradesa, Kab, Pekalongan, KEPATIHAN, WIRADESA, KAB. PEKALONGAN, JAWA TENGAH"
PZEYQ8IQ,Penentuan KA SPPG,Belum Beroperasi,KAB. PIDIE JAYA,ACEH,"Jln Banda Aceh - Medan Trieng Gadeng Kec. Mesjid Trieng Gadeng Kab. Pidie Jaya Prov. Aceh, MESJID TRIENGGADENG, TRIENGGADENG, KAB. PIDIE JAYA, ACEH"
GGFMPGG5,Penentuan KA SPPG,Belum Beroperasi,KAB. ACEH TAMIANG,ACEH,"Kampung Durian (di depan PUSTU), Kec. Rantau, Kabupaten Aceh Tamiang, Prov. Aceh, SUKA JADI, RANTAU, KAB. ACEH TAMIANG, ACEH"
1OXJECVQ,Penentuan KA SPPG,Belum Beroperasi,KAB. WAJO,SULAWESI SELATAN,"Jl. Poros Sengkang - Soppeng RT. 001 / RW. 001, SOMPE, SABANGPARU, KAB. WAJO, SULAWESI SELATAN"
4GW9B4F2,Penentuan KA SPPG,Belum Beroperasi,KAB. WAKATOBI,SULAWESI TENGGARA,"Mandati II, Kec. Wangi Wnagi Selatan, Kabupaten Wakatobi, Sulawesi Tenggara, MANDATI II, WANGI WANGI SELATAN, KAB. WAKATOBI, SULAWESI TENGGARA"
BPIHB7TN,Penentuan KA SPPG,Belum Beroperasi,KAB. MAMASA,SULAWESI BARAT,"JL. POROS TARINDING - LAKAHANG, TABULAHAN, TABULAHAN, KAB. MAMASA, SULAWESI BARAT"
PNKBXXFC,Penentuan KA SPPG,Belum Beroperasi,KOTA TASIKMALAYA,JAWA BARAT,"Jalan Cigeureung No 17, Kel Nagarasari, Kec. Cipedes Kota Tasikmalaya, NAGARASARI, CIPEDES, KOTA TASIKMALAYA, JAWA BARAT"
HOBLR0SO,Penentuan KA SPPG,Belum Beroperasi,KAB. KONAWE,SULAWESI TENGGARA,"Jl. Ahmad Yani, Kel. Lalosabila, Kec. Wawotobi, Kab. Konawe, Sultra - 93462, LALOSABILA, WAWOTOBI, KAB. KONAWE, SULAWESI TENGGARA"
SBDPJPZ8,Penentuan KA SPPG,Belum Beroperasi,KAB. CIAMIS,JAWA BARAT,"DUSUN WETAN RT/RW 005/002 DESA BAYASARI KECAMATAN JATINAGARA KABUPATEN CIAMIS, BAYASARI, JATINAGARA, KAB. CIAMIS, JAWA BARAT"
WKWTMJ3Q,Penentuan KA SPPG,Belum Beroperasi,KOTA TASIKMALAYA,JAWA BARAT,"Jalan paseh 259, Kel. Tugujaya, Kec. Cihideung, Kel. Tugujaya, Kota Tasikmalaya, TUGUJAYA, CIHIDEUNG, KOTA TASIKMALAYA, JAWA BARAT"
HIXXOSKN,Penentuan KA SPPG,Belum Beroperasi,KOTA LHOKSEUMAWE,ACEH,"Jl. Darussalam Gg Satria No 31 Desa Kp. Jawa Baru Kec. Banda Sakti Kota Lhokseumawe, JAWA BAROE, BANDA SAKTI, KOTA LHOKSEUMAWE, ACEH"
KJASMMBJ,Penentuan KA SPPG,Belum Beroperasi,KOTA DUMAI,RIAU,"Jalan Ombak, Gang Murni, II, No. 14 RT O11 RW -, RATU SIMA, DUMAI SELATAN, KOTA DUMAI, RIAU"
XDY385FA,Penentuan KA SPPG,Belum Beroperasi,KAB. MALUKU TENGAH,MALUKU,"Jln. Trans Seram Dusun Amdua RT.06, RUTAH, AMAHAI, KAB. MALUKU TENGAH, MALUKU"
KPBPNGVP,Penentuan KA SPPG,Belum Beroperasi,KAB. KUNINGAN,JAWA BARAT,"Alamat Dusun Cikawung RT 006 RW 004 Desa Cihideung Hilir Kecamatan Cidahu Kabupaten Kuningan Provinsi Jawa Barat Kodepos 45595, CIHIDEUNG HILIR, CIDAHU, KAB. KUNINGAN, JAWA BARAT"
H1SJEBQ9,Penentuan KA SPPG,Belum Beroperasi,KAB. KEBUMEN,JAWA TENGAH,"Jl Lingkar Selatan Kebumen, KALIREJO, KEBUMEN, KAB. KEBUMEN, JAWA TENGAH"
V8DRD8JP,Penentuan KA SPPG,Belum Beroperasi,KOTA TEBING TINGGI,SUMATERA UTARA,"JL. LINTAS SUMATERA KEL. RANTAU LABAN KEC. RAMBUTAN KOTA TEBING TINGGI PROV. SUMATERA UTARA, RANTAU LABAN, RAMBUTAN, KOTA TEBING TINGGI, SUMATERA UTARA"
JV2W1WDX,Penentuan KA SPPG,Belum Beroperasi,KAB. INDRAMAYU,JAWA BARAT,"Jalan Raya Saradan Desa Gabuskulon RT/RW 01/01, Kecamatan Gabuswetan, Kabupaten Indramayu
Provinsi Jawa Barat 45263, GABUS KULON, GABUSWETAN, KAB. INDRAMAYU, JAWA BARAT"
8ZAFNIHO,Penentuan KA SPPG,Belum Beroperasi,KAB. SUKABUMI,JAWA BARAT,"JL. PELABUHAN II KM. 21 KP. PASIR GEDE RT07/RW03 , CIMANGGU, CIKEMBAR, KAB. SUKABUMI, JAWA BARAT"
DFTGXSFM,Penentuan KA SPPG,Belum Beroperasi,KAB. ACEH TIMUR,ACEH,"Jl. Medan Banda Aceh, BEUSA SEBERANG, PEUREULAK BARAT, KAB. ACEH TIMUR, ACEH"
XBX9CRFQ,Penentuan KA SPPG,Belum Beroperasi,KAB. ACEH TIMUR,ACEH,"Jl. Medan Banda Aceh, ALUE THO, PEUREULAK TIMUR, KAB. ACEH TIMUR, ACEH"
65BBNUT2,Penentuan KA SPPG,Belum Beroperasi,KAB. TANGERANG,BANTEN,"Ruko Bizwalks Blok O-01/162 & O-01/166, Citra Raya, Sukamulya, Cikupa Tangerang, SUKAMULYA, CIKUPA, KAB. TANGERANG, BANTEN"
1FJKIM2T,Penentuan KA SPPG,Belum Beroperasi,KAB. KUNINGAN,JAWA BARAT,"Paniis, Kec. Pasawahan, Kabupaten Kuningan, Jawa Barat, PANIIS, PASAWAHAN, KAB. KUNINGAN, JAWA BARAT"
SPZ2FU5U,Penentuan KA SPPG,Belum Beroperasi,KAB. PANGANDARAN,JAWA BARAT,"Dusun Sindang Sari RT/RW 005/002 Desa Legok Jawa Kec. Cimerak Kab. Pangandaran Provinsi Jawa Barat, LEGOKJAWA, CIMERAK, KAB. PANGANDARAN, JAWA BARAT"
ZHDUHHVZ,Penentuan KA SPPG,Belum Beroperasi,KAB. KEBUMEN,JAWA TENGAH,"Jl. Kejayan Km. 01, Desa Jatisari, RT 003 RW 002, Kecamatan Kebumen, Kabupaten Kebumen, Jawa Tengah, 54317, JATISARI, KEBUMEN, KAB. KEBUMEN, JAWA TENGAH"
UPFKKRHK,Penentuan KA SPPG,Belum Beroperasi,KAB. CILACAP,JAWA TENGAH,"Jalan melati. RT 01 RW 06 Desa Serang Kecamatan Cipari Kabupaten Cilacap, SERANG, CIPARI, KAB. CILACAP, JAWA TENGAH"
BXWTWOL6,Penentuan KA SPPG,Belum Beroperasi,KAB. BOYOLALI,JAWA TENGAH,"DUSUN III, REPAKING, WONOSAMODRO, KAB. BOYOLALI, JAWA TENGAH"
XHKBYDZY,Penentuan KA SPPG,Belum Beroperasi,KAB. SEMARANG,JAWA TENGAH,"Jalan MT Hariyono RT 06 Rw 02 Sidosari Sidomulyo Ungaran Timur ( Sebelah Kantor Samsat Ungaran  Timur), SIDOMULYO, UNGARAN TIMUR, KAB. SEMARANG, JAWA TENGAH"
ISYM2WAU,Penentuan KA SPPG,Belum Beroperasi,KAB. TULANG BAWANG BARAT,LAMPUNG,"Jalan ratu Pengadilan, Desa Karta Raharja, RT.031, RW. 008, Kelurahan Karta Raharja, Kecamatan Tulang Bawang Udik, Kabupaten Tulang Bawang Barat , KARTA RAHARJA, TULANG BAWANG UDIK, KAB. TULANG BAWANG BARAT, LAMPUNG"
JGWZEVT3,Penentuan KA SPPG,Belum Beroperasi,KAB. GROBOGAN,JAWA TENGAH,"Jl. Diponegoro 86A Danyang, Purwodadi, Kab. Grobogan, Jawa Tengah 58113, DANYANG, PURWODADI, KAB. GROBOGAN, JAWA TENGAH"
ECDEBZ2M,Penentuan KA SPPG,Belum Beroperasi,KOTA SALATIGA,JAWA TENGAH,"Jl. Maulana Malik Ibrahim 001/001 Kalibening Kecamatan Tingkir, Kota Salatiga Jawa Tengah, KALIBENING, TINGKIR, KOTA SALATIGA, JAWA TENGAH"
UMEAVT8X,Penentuan KA SPPG,Belum Beroperasi,KAB. KEDIRI,JAWA TIMUR,"Jl. Raya Kediri - Blitar, Ngampel, Desa Selodono, Kec. Ringinrejo, Kabupaten Kediri, Jawa Timur, SELODONO, RINGINREJO, KAB. KEDIRI, JAWA TIMUR"
22VHRF5X,Penentuan KA SPPG,Belum Beroperasi,KAB. BREBES,JAWA TENGAH,"JALAN RAYA BANTARKAWUNG RT. 007 RW. 005,
PANGEBATAN, BANTARKAWUNG, KAB. BREBES, JAWA
TENGAH, PANGEBATAN, BANTARKAWUNG, KAB. BREBES, JAWA TENGAH"
UCVUB3MA,Penentuan KA SPPG,Belum Beroperasi,KAB. DOMPU,NUSA TENGGARA BARAT,"Jalan lintas sumabawa bima nomor o1, MANGGEASI, DOMPU, KAB. DOMPU, NUSA TENGGARA BARAT"
GPN6HAJH,Penentuan KA SPPG,Belum Beroperasi,KAB. PEKALONGAN,JAWA TENGAH,"Gg. 1, Kel. Bener, Kec. Wiradesa, Kab. Pekalongan, Jawa Tengah, BENER, WIRADESA, KAB. PEKALONGAN, JAWA TENGAH"
SG6TODVH,Penentuan KA SPPG,Belum Beroperasi,KAB. BOJONEGORO,JAWA TIMUR,"PONDOK ASRI , LEDOK KULON, BOJONEGORO, KAB. BOJONEGORO, JAWA TIMUR"
0T0R0TST,Penentuan KA SPPG,Belum Beroperasi,KAB. KEBUMEN,JAWA TENGAH,"Dukuh Gemarang RT 02 RW 03, TAMBAKMULYO, PURING, KAB. KEBUMEN, JAWA TENGAH"
Y9ENCJXU,Penentuan KA SPPG,Belum Beroperasi,KOTA CILEGON,BANTEN,"Jl. Kh. Wasyid No 4A RT 04 RW 04 , JOMBANG WETAN, JOMBANG, KOTA CILEGON, BANTEN"
X8LFYQYF,Penentuan KA SPPG,Belum Beroperasi,KAB. CIAMIS,JAWA BARAT,"Dusun Banjarpinang, RT 33/ RW 12, AWILUAR, LUMBUNG, KAB. CIAMIS, JAWA BARAT"
8HYELEC4,Penentuan KA SPPG,Belum Beroperasi,KAB. LOMBOK TENGAH,NUSA TENGGARA BARAT,"JL PANCA WARIS GONJONG DESA MONTONG GAMANG KEC. KOPANG, MONTONG GAMANG, KOPANG, KAB. LOMBOK TENGAH, NUSA TENGGARA BARAT"
WZJOH44X,Penentuan KA SPPG,Belum Beroperasi,KAB. NAGAN RAYA,ACEH,"DESA SUKA RAMAI KECAMATAN DARUL MAKMUR KABUPATEN NAGAN RAYA PROVINSI ACEH, SUKA RAMAI, DARUL MAKMUR, KAB. NAGAN RAYA, ACEH"
V5EBW606,Penentuan KA SPPG,Belum Beroperasi,KAB. CILACAP,JAWA TENGAH,"Dusun cilemba RT 01 RW 01 Desa Kalijeruk, Kecamatan Kawunganten, Kabupaten Cilacap, Provinsi Jawa Tengah , KALIJERUK, KAWUNGANTEN, KAB. CILACAP, JAWA TENGAH"
ROXARSF1,Penentuan KA SPPG,Belum Beroperasi,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA,"Komplek Lanud Halim Perdanakusuma, Jl. Kukila Raya, Kel. Halim Perdanakusuma, Kec. Makasar, Kota Jakarta Timur, DKI Jakarta, 13610, HALIM PERDANA KUSUMA, MAKASAR, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA"
QSQYK2W5,Penentuan KA SPPG,Belum Beroperasi,KAB. KEBUMEN,JAWA TENGAH,"Jl. Karangsambung KM 12, RT 002 RW 002, Desa Kedungwaru, Kecamatan Karangsambung, Kabupaten Kebumen, KEDUNGWARU, KARANGSAMBUNG, KAB. KEBUMEN, JAWA TENGAH"
IKJP04TY,Penentuan KA SPPG,Belum Beroperasi,KAB. KEBUMEN,JAWA TENGAH,"Gunungsari RT 05/04, GUNUNGSARI, KARANGGAYAM, KAB. KEBUMEN, JAWA TENGAH"
W3TAILHF,Penentuan KA SPPG,Belum Beroperasi,KAB. TASIKMALAYA,JAWA BARAT,"Kp. Sukaratu Rt.015/08 desa neglasari kecamatan salawu kab.tasikmalaya, NEGLASARI, SALAWU, KAB. TASIKMALAYA, JAWA BARAT"
XWIT8BX5,Penentuan KA SPPG,Belum Beroperasi,KAB. KUBU RAYA,KALIMANTAN BARAT,"Gg. H. Akin, KAPUR, SUNGAI RAYA, KAB. KUBU RAYA, KALIMANTAN BARAT"
FRXJYJVF,Penentuan KA SPPG,Belum Beroperasi,KOTA CILEGON,BANTEN,"Jl. KH. Wasyid No 4B RT 04 RW 04 , JOMBANG WETAN, JOMBANG, KOTA CILEGON, BANTEN"
HTXGJF6M,Penentuan KA SPPG,Belum Beroperasi,KAB. PANGANDARAN,JAWA BARAT,"RT 003 RW 12 dusun Bantarkalong desa Sidomulyo kec. pangandaran kab Pangandaran Jawa barat, SIDOMULYO, PANGANDARAN, KAB. PANGANDARAN, JAWA BARAT"
WR2DM0QG,Penentuan KA SPPG,Belum Beroperasi,KAB. BANYUWANGI,JAWA TIMUR,"Dusun Jatisari RT 3 RW 3 Desa Wringinagung Kecamatan Gambiran Kabupaten Banyuwangi, WRINGINAGUNG, GAMBIRAN, KAB. BANYUWANGI, JAWA TIMUR"
PBMEVAB5,Penentuan KA SPPG,Belum Beroperasi,KOTA CILEGON,BANTEN,"Jl. KH. Wasyid No 4C RT 04 RW 04 , JOMBANG WETAN, JOMBANG, KOTA CILEGON, BANTEN"
DR7QXF0M,Penentuan KA SPPG,Belum Beroperasi,KAB. LANGKAT,SUMATERA UTARA,"Jl Singlar, Pantai Gemi, Kec. Stabat, Kab. Langkat, Sumatera Utara. 20812, PANTAI GEMI, STABAT, KAB. LANGKAT, SUMATERA UTARA"
HUCTRRVB,Penentuan KA SPPG,Belum Beroperasi,KAB. KUNINGAN,JAWA BARAT,"Jl. Luragung-Ciwaru Dusun Puhun No. 37 RT. 004 RW. 002 Desa Luragung Tonggoh Kecamatan Luragung Kabupaten Kuningan
, LURAGUNG TONGGOH, LURAGUNG, KAB. KUNINGAN, JAWA BARAT"
WPDQCCWS,Penentuan KA SPPG,Belum Beroperasi,KAB. SEMARANG,JAWA TENGAH,"Jl Mayor Soeyoto Km 6 Desa Pakopen Kecamatan Bandungan Kabupaten Semarang, PAKOPEN, BANDUNGAN, KAB. SEMARANG, JAWA TENGAH"
PCCUYXII,Penentuan KA SPPG,Belum Beroperasi,KOTA BEKASI,JAWA BARAT,"Jl. Cendana 14 No.14, RT.004/RW.06, JAKASAMPURNA, BEKASI BARAT, KOTA BEKASI, JAWA BARAT"
SG7L4J9N,Penentuan KA SPPG,Belum Beroperasi,KAB. BANDUNG BARAT,JAWA BARAT,"Kp Cipari Rt 001 Rw 001, CIJAMBU, CIPONGKOR, KAB. BANDUNG BARAT, JAWA BARAT"
Y71W1VUI,Penentuan KA SPPG,Belum Beroperasi,KOTA CIMAHI,JAWA BARAT,"Jalan Sindangsari Barat No. 80 RT 001 RW. 009 Melong, Cimahi Selatan, MELONG, CIMAHI SELATAN, KOTA CIMAHI, JAWA BARAT"
RCCQCO8E,Penentuan KA SPPG,Belum Beroperasi,KAB. NGANJUK,JAWA TIMUR,"Dusun Pesu Lor, Desa Pesudukuh, Kecamatan Bagor, kabupaten Nganjuk, Provinsi Jawa Timur, PESUDUKUH, BAGOR, KAB. NGANJUK, JAWA TIMUR"
K0IOQOUR,Penentuan KA SPPG,Belum Beroperasi,KAB. INDRAMAYU,JAWA BARAT,"Blok Bedug, RT.02, RW.03, Desa Segeran Kidul, Kecamatan Juntinyuat, Kabupaten Indramayu, SEGERAN KIDUL, JUNTINYUAT, KAB. INDRAMAYU, JAWA BARAT"
HR2UXF6W,Penentuan KA SPPG,Belum Beroperasi,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,"Jl. Nanas, No 51 Banjeng Maguwoharjo depok sleman, Yogyakarta, Daerah Istimewa Yogyakarta 55282, CONDONGCATUR, DEPOK, KAB. SLEMAN, DAERAH ISTIMEWA YOGYAKARTA"
JHE9MFGM,Penentuan KA SPPG,Belum Beroperasi,KAB. BOJONEGORO,JAWA TIMUR,"Desa Kedungdowo Kecamatan Balen Kabupaten Bojonegoro Jawa Timur, KEDUNGDOWO, BALEN, KAB. BOJONEGORO, JAWA TIMUR"
JJ5S0HAS,Penentuan KA SPPG,Belum Beroperasi,KAB. BANGGAI,SULAWESI TENGAH,"Jl. Sultan Hasanuddin, Desa Bunta I, Kecamatan Bunta, Kabupaten Banggai, Provinsi Sulawesi Tengah, BUNTA I, BUNTA, KAB. BANGGAI, SULAWESI TENGAH"
MWTBHO90,Penentuan KA SPPG,Belum Beroperasi,KAB. CIREBON,JAWA BARAT,"JALAN RAYA SUCI BANJARAWANGUNAN KEC. MUNDU KAB. CIREBON, BANJARWANGUNAN, MUNDU, KAB. CIREBON, JAWA BARAT"
WWHJHDCG,Penentuan KA SPPG,Belum Beroperasi,KAB. KEBUMEN,JAWA TENGAH,"Pregolan Rt. 001 Rw. 002, SELOTUMPENG, MIRIT, KAB. KEBUMEN, JAWA TENGAH"
COVV4NE6,Penentuan KA SPPG,Belum Beroperasi,KAB. KEBUMEN,JAWA TENGAH,"Sembirkadipaten Rt. 003 Rw. 001, SEMBIRKADIPATEN, PREMBUN, KAB. KEBUMEN, JAWA TENGAH"
Y9AV2LMA,Penentuan KA SPPG,Belum Beroperasi,KOTA METRO,LAMPUNG,"Jl. Cemara RT/RW RT 009/003, TEJO AGUNG, METRO TIMUR, KOTA METRO, LAMPUNG"
FHQ8ETLW,Penentuan KA SPPG,Belum Beroperasi,KAB. BLORA,JAWA TENGAH,"dk singgahan ds tawangrejo kec kunduran blora, TAWANGREJO, KUNDURAN, KAB. BLORA, JAWA TENGAH"
XQI9ZNAN,Penentuan KA SPPG,Belum Beroperasi,KAB. SUKABUMI,JAWA BARAT,"Kampung ciseke
RT 01
RW  01
Desa cikaret
Kecamatan kebon pedes, CIKARET, KEBONPEDES, KAB. SUKABUMI, JAWA BARAT"
VLGC2EA5,Penentuan KA SPPG,Belum Beroperasi,KAB. BIMA,NUSA TENGGARA BARAT,"Jalan lintas simpasai no. 01 dusun mangge maju Rt. 006 Rw. 003, SIMPASAI, LAMBU, KAB. BIMA, NUSA TENGGARA BARAT"
NLA3JWJ4,Penentuan KA SPPG,Belum Beroperasi,KOTA BANDUNG,JAWA BARAT,"Jl. Kiliningan No. 10C , TURANGGA, LENGKONG, KOTA BANDUNG, JAWA BARAT"
RQYGIL4O,Penentuan KA SPPG,Belum Beroperasi,KAB. BANDUNG BARAT,JAWA BARAT,"Jl. Dirawinata No.5-7, RT.01 RW.01, TANIMULYA, NGAMPRAH, KAB. BANDUNG BARAT, JAWA BARAT"
JVCYJF4O,Penentuan KA SPPG,Belum Beroperasi,KAB. BERAU,KALIMANTAN TIMUR,"Jl. Karang Mulya RT 05, KARANG AMBUN, TANJUNG REDEB, KAB. BERAU, KALIMANTAN TIMUR"
4CXXVKWM,Penentuan KA SPPG,Belum Beroperasi,KAB. GOWA,SULAWESI SELATAN,"Jl. Tumanurung Raya, Sungguminasa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92114, SUNGGUMINASA, SOMBA OPU, KAB. GOWA, SULAWESI SELATAN"
A0SD2YTE,Penentuan KA SPPG,Belum Beroperasi,KOTA PONTIANAK,KALIMANTAN BARAT,"JL. Sejarah, Gg. Sejarah No. 22, RT/RW, 05 / 010, Kel/Desa  Sungai Jawi, SUNGAIJAWI, PONTIANAK KOTA, KOTA PONTIANAK, KALIMANTAN BARAT"
FKJ1FXRP,Penentuan KA SPPG,Belum Beroperasi,KAB. CIANJUR,JAWA BARAT,"KOTA BUNGA SUKANAGALIH, SUKANAGALIH, PACET, KAB. CIANJUR, JAWA BARAT"
HD4UDLD8,Penentuan KA SPPG,Belum Beroperasi,KAB. TULANG BAWANG BARAT,LAMPUNG,"Panaragan Jaya, RT.001, RW.005, Kel. Panaragan Jaya, Kec. TulangBawang Tengah, Kabupaten Tulang Bawang Barat, PANARAGAN JAYA , TULANG BAWANG TENGAH, KAB. TULANG BAWANG BARAT, LAMPUNG"
RAXX2K4P,Penentuan KA SPPG,Belum Beroperasi,KAB. KAMPAR,RIAU,"LK. Pasir Sialang Rt. 001 Rw. 001 Kel. Pasir Sialang Kec. Bangkinang Kab. Kampar, Prov. Riau, PASIR SIALANG, BANGKINANG, KAB. KAMPAR, RIAU"
SIRA12V0,Penentuan KA SPPG,Belum Beroperasi,KOTA SUNGAI PENUH,JAMBI,"Jl Depati Dua Nenek, Desa Permai Indah, Kecamatan Koto Baru, Kota Sungai Penuh, PERMAI INDAH, KOTO BARU, KOTA SUNGAI PENUH, JAMBI"
ESTWJA2C,Penentuan KA SPPG,Belum Beroperasi,KOTA BANDAR LAMPUNG,LAMPUNG,"Jl. Nangka No. 14, GEDONG AIR, TANJUNGKARANG BARAT, KOTA BANDAR LAMPUNG, LAMPUNG"
HISX9G65,Penentuan KA SPPG,Belum Beroperasi,KAB. BANYUASIN,SUMATERA SELATAN,"Jalan Sabar Jaya Mariana Ilir, Kec. Banyuasin I, Kab. Banyuasin, Sumatera Selatan 30967 (di samping Bank SumselBabel Mariana), MARIANA ILIR, BANYUASIN I, KAB. BANYUASIN, SUMATERA SELATAN"
QR7VSETF,Penentuan KA SPPG,Belum Beroperasi,KAB. WAY KANAN,LAMPUNG,"RT 008 RW  004 KAMPUNG NEGARA BATIN KECAMATAN NEGARA BATIN KABUPATEN WAY KANAN, NEGARA BATIN, NEGARA BATIN, KAB. WAY KANAN, LAMPUNG"
GI85X351,Penentuan KA SPPG,Belum Beroperasi,KAB. INDRAMAYU,JAWA BARAT,"JL. Raya Lohbener - Cirebon, PANYINDANGAN WETAN, SINDANG, KAB. INDRAMAYU, JAWA BARAT"
QDYECDOQ,Penentuan KA SPPG,Belum Beroperasi,KAB. POLEWALI MANDAR,SULAWESI BARAT,"Jalan Poros Majene-Mamuju, Paku, PAKU, BINUANG, KAB. POLEWALI MANDAR, SULAWESI BARAT"
EIPVCGWC,Penentuan KA SPPG,Belum Beroperasi,KOTA SAMARINDA,KALIMANTAN TIMUR,"Jl. M. said, Gang Polewali 9 Blok C RT 46, LOK BAHU, SUNGAI KUNJANG, KOTA SAMARINDA, KALIMANTAN TIMUR"
CIEZ8GYS,Penentuan KA SPPG,Belum Beroperasi,KAB. LOMBOK TIMUR,NUSA TENGGARA BARAT,"buhlawang barat, KERUAK, KERUAK, KAB. LOMBOK TIMUR, NUSA TENGGARA BARAT"
IU4ZFDTF,Penentuan KA SPPG,Belum Beroperasi,KAB. BEKASI,JAWA BARAT,"J2WM+MM2 Ciledug, Kabupaten Bekasi, Jawa Barat, CILEDUG, SETU, KAB. BEKASI, JAWA BARAT"
J1VDNW8U,Penentuan KA SPPG,Belum Beroperasi,KAB. PATI,JAWA TENGAH,"Dukuh Kalisabuk, Kelurahan Agungmulyo, Kec. Juwana, Kabupaten Pati, Jawa Tengah, AGUNGMULYO, JUWANA, KAB. PATI, JAWA TENGAH"
SNNNWV2B,Penentuan KA SPPG,Belum Beroperasi,KOTA BIMA,NUSA TENGGARA BARAT,"Jalan kartini nomor 1, PARUGA, RASANAE BARAT, KOTA BIMA, NUSA TENGGARA BARAT"
EK5DMNIJ,Penentuan KA SPPG,Belum Beroperasi,KAB. KEBUMEN,JAWA TENGAH,"Jl. Kutoarjo KM 4,5  Desa Wonosari RT 01 RW 02 Kec Kebumen Kab Kebumen Jateng 54317, WONOSARI, KEBUMEN, KAB. KEBUMEN, JAWA TENGAH"
2PG9UQJI,Penentuan KA SPPG,Belum Beroperasi,KAB. JENEPONTO,SULAWESI SELATAN,"SAMPEANG DESA KAYULOE BARAT KEC. TURATEA KAB. JENEPONTO, KAYULOE BARAT, TURATEA, KAB. JENEPONTO, SULAWESI SELATAN"
496UHTUY,Penentuan KA SPPG,Belum Beroperasi,KAB. BEKASI,JAWA BARAT,"Q332+CPQ Setiamekar, Kabupaten Bekasi, Jawa Barat, SETIAMEKAR, TAMBUN SELATAN, KAB. BEKASI, JAWA BARAT"
YWOHWKO8,Penentuan KA SPPG,Belum Beroperasi,KAB. LAMPUNG SELATAN,LAMPUNG,"Jl. Satria No. 07/28 RT.003 RW. 002 Desa Jati Baru , JATI BARU, TANJUNG BINTANG, KAB. LAMPUNG SELATAN, LAMPUNG"
BTJQOWKP,Penentuan KA SPPG,Belum Beroperasi,KAB. GARUT,JAWA BARAT,"Kp. Gudang, RT 01/ RW 01, CISITU, MALANGBONG, KAB. GARUT, JAWA BARAT"
5NVV6BNG,Penentuan KA SPPG,Belum Beroperasi,KAB. OGAN KOMERING ILIR,SUMATERA SELATAN,"DUSUN II, DESA KEMANG INDAH, KECAMATAN MESUJI RAYA, KABUPATEN OGAN KOMERING ILIR SUMATERA SELATAN, KEMANG INDAH, MESUJI RAYA, KAB. OGAN KOMERING ILIR, SUMATERA SELATAN"
PFHWQFNS,Penentuan KA SPPG,Belum Beroperasi,KAB. BANYUASIN,SUMATERA SELATAN,"Jalan Diponegoro Gang Baitul Iman Rt.027 Rw.006 No. 8, SUKOMORO, TALANG KELAPA, KAB. BANYUASIN, SUMATERA SELATAN"
